"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT049118","hsa","hsa","hsa-miR-92a-3p","C9orf64","0","0","0","0","1","0","0","0","1","1"
"MIRT049119","hsa","hsa","hsa-miR-92a-3p","RANBP2","0","0","0","0","1","0","0","0","1","1"
"MIRT049120","hsa","hsa","hsa-miR-92a-3p","CDC25A","0","0","0","0","1","0","0","0","1","1"
"MIRT049121","hsa","hsa","hsa-miR-92a-3p","NACC2","0","0","0","0","1","0","0","0","1","1"
"MIRT049122","hsa","hsa","hsa-miR-92a-3p","TRIM28","0","0","0","0","1","0","0","0","1","1"
"MIRT049123","hsa","hsa","hsa-miR-92a-3p","RPL3","0","0","1","0","1","0","0","0","2","1"
"MIRT049124","hsa","hsa","hsa-miR-92a-3p","CKB","0","0","0","0","1","0","0","0","1","1"
"MIRT049125","hsa","hsa","hsa-miR-92a-3p","SSX2IP","0","0","0","0","1","0","0","0","1","1"
"MIRT049126","hsa","hsa","hsa-miR-92a-3p","PDS5B","0","0","0","0","1","0","0","0","1","1"
"MIRT049127","hsa","hsa","hsa-miR-92a-3p","WIPF2","0","0","0","0","1","0","0","0","1","1"
"MIRT049128","hsa","hsa","hsa-miR-92a-3p","CC2D2A","0","0","0","0","1","0","0","0","1","1"
"MIRT049129","hsa","hsa","hsa-miR-92a-3p","DHCR24","0","0","0","0","1","0","0","0","1","1"
"MIRT049130","hsa","hsa","hsa-miR-92a-3p","POR","0","0","0","0","1","0","0","0","1","1"
"MIRT049131","hsa","hsa","hsa-miR-92a-3p","EEF1A1","0","0","0","0","1","0","0","0","1","1"
"MIRT049132","hsa","hsa","hsa-miR-92a-3p","TANC2","0","0","1","0","1","0","0","0","2","1"
"MIRT049133","hsa","hsa","hsa-miR-92a-3p","AURKB","0","0","0","0","1","0","0","0","1","1"
"MIRT049134","hsa","hsa","hsa-miR-92a-3p","AIDA","0","0","0","0","1","0","0","0","1","1"
"MIRT049135","hsa","hsa","hsa-miR-92a-3p","DNAJA3","0","0","0","0","1","0","0","0","1","1"
"MIRT049136","hsa","hsa","hsa-miR-92a-3p","PXN","0","0","0","0","1","0","0","0","1","1"
"MIRT049137","hsa","hsa","hsa-miR-92a-3p","PARK7","0","0","0","0","1","0","0","0","1","1"
"MIRT049138","hsa","hsa","hsa-miR-92a-3p","HDGF","0","0","0","0","1","0","0","0","1","1"
"MIRT049139","hsa","hsa","hsa-miR-92a-3p","LIMD1","0","0","0","0","1","0","0","0","1","1"
"MIRT049140","hsa","hsa","hsa-miR-92a-3p","PTGFRN","0","0","0","0","1","0","0","0","1","1"
"MIRT049141","hsa","hsa","hsa-miR-92a-3p","COX18","0","0","0","0","1","0","0","0","1","1"
"MIRT049142","hsa","hsa","hsa-miR-92a-3p","MYO19","0","0","0","0","1","0","0","0","1","1"
"MIRT049143","hsa","hsa","hsa-miR-92a-3p","ZNF276","0","0","0","0","1","0","0","0","1","1"
"MIRT049144","hsa","hsa","hsa-miR-92a-3p","AARS2","0","0","0","0","1","0","0","0","1","1"
